Participant;Level;Time Spent (s);Errors (Count);Explanation Time (Before Lvl) (s);Score;BestPercentage;FirstPercentage;Skipp/Read;Restarted
;Area Chart;24;0;79;100;100 %;100 %;Skipper;No
;Stacked Area;637;48;76;1125;80 %;80 %;Reader;No
;Misleading;45;1;3;175;87.5%;87.5%;Reader;No
P64;Base Chart;93;2;48;475;95 %;95 %;Reader;No
;Line Chart;255;12;55;1275;92 %;40 %;Reader;Yes
;Area Chart;43;0;22;100;100 %;100 %;Reader;No
;Stacked Area;390;10;62;1375;98 %;98 %;Reader;No
;Misleading;150;1;61;175;100;87.5%;Reader;Yes
P65;Base Chart;215;6;43;400;80 %;80 %;Reader;No
;Line Chart;200;2;21;1150;100 %;100 %;Reader;No
;Area Chart;115;6;22;-50;100 %;0 %;Skipper;Yes
;Stacked Area;~720;25;30;1025;73 %;73 %;Reader;Yes
;Misleading;170;2;5;150;75 %;75 %;Reader;No
P66;Base Chart;117;0;49;500;100 %;100 %;Reader;No
;Line Chart;220;3;98;1275;100 %;100 %;Reader;No
;Area Chart;33;0;61;100;100 %;100 %;Reader;No
;Stacked Area;465;0;104;1400;100 %;100 %;Reader;No
;Misleading;156;1;65;175;100 %;87.5%;Reader;Yes
P67;Base Chart;258;12;183;500;100 %;100 %;Reader;No
;Line Chart;205;16;45;875;76 %;76 %;Skipper;No
;Area Chart;209;4;60;-50;75 %;0 %;Skipper;Yes
;Stacked Area;630;30;9;950;67 %;67 %;Reader;No
;Misleading;139;9;7;-50;87.5%;0 %;Reader;Yes
P68;Base Chart;177;1;48;500;100 %;100 %;Reader;No
;Line Chart;191;4;61;1175;94 %;94 %;Reader;No
;Area Chart;27;0;60;100;100 %;100 %;Reader;No
;Stacked Area;358;8;100;1175;84 %;84 %;Reader;No
;Misleading;85;1;76;175;100 %;87.5%;Reader;Yes
P69;Base Chart;158;3;52;625;100 %;100 %;Reader;No
;Line Chart;178;4;45;1275;100 %;100 %;Reader;No
;Area Chart;39;0;18;100;100 %;100 %;Reader;No
;Stacked Area;171;3;81;1375;98 %;98 %;Reader;No
;Misleading;149;0;78;200;100 %;100 %;Reader;Yes
P70;Base Chart;389;13;47;225;45 %;45 %;Reader;No
;Line Chart;145;9;73;325;59 %;59 %;Reader;No
;Area Chart;163;3;43;175;70 %;70 %;Reader;No
;Stacked Area;561;32;82;500;35 %;35 %;Reader;No
;Misleading;92;1;54;175;87 %;87 %;Reader;No
P71;Base Chart;425;8;24;475;95 %;70 %;Reader;Yes
;Line Chart;150;4;18;1150;100 %;100 %;Reader;No
;Area Chart;78;1;2;100;100 %;100 %;Skipper;No
;Stacked Area;518;18;19;1225;88 %;88 %;Reader;No
;Misleading;102;3;2;200;100 %;85 %;Skipper;Yes
P72;Base Chart;127;5;50;400;80 %;80 %;Reader;No
;Line Chart;433;60;55;1125;97 %;0 %;Reader;Yes
;Area Chart;64;2;31;100;40 %;40 %;Reader;No
;Stacked Area;494;40;38;1250;89 %;20 %;Reader;Yes
;Misleading;58;0;50;200;100 %;100 %;Reader;No
P73;Base Chart;124;4;50;425;85 %;85 %;Reader;No
;Line Chart;450;70;26;900;78 %;0 %;Reader;Yes
;Area Chart;24;1;29;75;75 %;75 %;Reader;No
;Stacked Area;236;15;34;1125;80 %;80 %;Reader;No
;Misleading;63;1;71;175;88 %;88 %;Reader;No
